NMiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
59,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2387.7889647483826,123587.5113646561,103
60,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2427.122111082077,123587.5113646561,105
61,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2464.033655166626,123587.5113646561,106
62,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2502.037267446518,123587.5113646561,107
63,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2538.9837131500244,123587.5113646561,108
64,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2575.959361076355,123587.5113646561,109
65,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2612.9285287857056,123587.5113646561,110
66,0.053618858930256044,0.006908950903157062,1.9494722859302434,0.5866246775629846,0.2478695892868082,0.382527350642527,0.06196170158162409,4.171160735882071,0.01958468606954683,0.005012282743365404,-0.009753094561041564,20.709569983908573,False,0.008753094561041563,2652.625402212143,112364.74201665827,112
67,0.053618858930256044,0.006908950903157062,1.9494722859302434,0.5866246775629846,0.2478695892868082,0.382527350642527,0.06196170158162409,4.171160735882071,0.01958468606954683,0.005012282743365404,-0.009753094561041564,20.709569983908573,False,0.008753094561041563,2692.3350579738617,112364.74201665827,114
68,0.053960109395443365,0.006904421963546237,1.9498641936521892,0.5863321644409443,0.24713274080203207,0.3781608761640647,0.06289176043155745,4.159021018348635,0.01970623470207579,0.004514815504748526,-0.008571315299345628,20.71839155834715,False,0.007571315299345628,2732.624593257904,111035.99288389718,116
69,0.053960109395443365,0.006904421963546237,1.9498641936521892,0.5863321644409443,0.24713274080203207,0.3781608761640647,0.06289176043155745,4.159021018348635,0.01970623470207579,0.004514815504748526,-0.008571315299345628,20.71839155834715,False,0.007571315299345628,2770.360646724701,111035.99288389718,117
70,0.053960109395443365,0.006904421963546237,1.9498641936521892,0.5863321644409443,0.24713274080203207,0.3781608761640647,0.06289176043155745,4.159021018348635,0.01970623470207579,0.004514815504748526,-0.008571315299345628,20.71839155834715,False,0.007571315299345628,2809.57404255867,111035.99288389718,119
71,0.053960109395443365,0.006904421963546237,1.9498641936521892,0.5863321644409443,0.24713274080203207,0.3781608761640647,0.06289176043155745,4.159021018348635,0.01970623470207579,0.004514815504748526,-0.008571315299345628,20.71839155834715,False,0.007571315299345628,2847.2279114723206,111035.99288389718,120
72,0.053960109395443365,0.006904421963546237,1.9498641936521892,0.5863321644409443,0.24713274080203207,0.3781608761640647,0.06289176043155745,4.159021018348635,0.01970623470207579,0.004514815504748526,-0.008571315299345628,20.71839155834715,False,0.007571315299345628,2884.5769822597504,111035.99288389718,121
73,0.053960109395443365,0.006904421963546237,1.9498641936521892,0.5863321644409443,0.24713274080203207,0.3781608761640647,0.06289176043155745,4.159021018348635,0.01970623470207579,0.004514815504748526,-0.008571315299345628,20.71839155834715,False,0.007571315299345628,2921.9228394031525,111035.99288389718,122
74,0.053960109395443365,0.006904421963546237,1.9498641936521892,0.5863321644409443,0.24713274080203207,0.3781608761640647,0.06289176043155745,4.159021018348635,0.01970623470207579,0.004514815504748526,-0.008571315299345628,20.71839155834715,False,0.007571315299345628,2959.1992316246033,111035.99288389718,123
75,0.053960109395443365,0.006904421963546237,1.9498641936521892,0.5863321644409443,0.24713274080203207,0.3781608761640647,0.06289176043155745,4.159021018348635,0.01970623470207579,0.004514815504748526,-0.008571315299345628,20.71839155834715,False,0.007571315299345628,2999.0010635852814,111035.99288389718,125
76,0.053960109395443365,0.006904421963546237,1.9498641936521892,0.5863321644409443,0.24713274080203207,0.3781608761640647,0.06289176043155745,4.159021018348635,0.01970623470207579,0.004514815504748526,-0.008571315299345628,20.71839155834715,False,0.007571315299345628,3039.4067566394806,111035.99288389718,127
77,0.053960109395443365,0.006904421963546237,1.9498641936521892,0.5863321644409443,0.24713274080203207,0.3781608761640647,0.06289176043155745,4.159021018348635,0.01970623470207579,0.004514815504748526,-0.008571315299345628,20.71839155834715,False,0.007571315299345628,3076.3073692321777,111035.99288389718,128
78,0.053386283098927234,0.006910243435570337,1.9802376334563898,0.5960216470148745,0.24549117272020926,0.3608155537464134,0.06712104581703948,4.1910925349518156,0.01975425545279774,0.0022210782672686946,-0.004611319639121092,20.744924900908863,False,0.003611319639121092,3115.695846557617,117012.45922477772,130
79,0.053386283098927234,0.006910243435570337,1.9802376334563898,0.5960216470148745,0.24549117272020926,0.3608155537464134,0.06712104581703948,4.1910925349518156,0.01975425545279774,0.0022210782672686946,-0.004611319639121092,20.744924900908863,False,0.003611319639121092,3155.38907790184,117012.45922477772,132
80,0.053386283098927234,0.006910243435570337,1.9802376334563898,0.5960216470148745,0.24549117272020926,0.3608155537464134,0.06712104581703948,4.1910925349518156,0.01975425545279774,0.0022210782672686946,-0.004611319639121092,20.744924900908863,False,0.003611319639121092,3194.665240049362,117012.45922477772,134
81,0.053386283098927234,0.006910243435570337,1.9802376334563898,0.5960216470148745,0.24549117272020926,0.3608155537464134,0.06712104581703948,4.1910925349518156,0.01975425545279774,0.0022210782672686946,-0.004611319639121092,20.744924900908863,False,0.003611319639121092,3234.050236940384,117012.45922477772,136
82,0.053386283098927234,0.006910243435570337,1.9802376334563898,0.5960216470148745,0.24549117272020926,0.3608155537464134,0.06712104581703948,4.1910925349518156,0.01975425545279774,0.0022210782672686946,-0.004611319639121092,20.744924900908863,False,0.003611319639121092,3273.3882699012756,117012.45922477772,138
83,0.053386283098927234,0.006910243435570337,1.9802376334563898,0.5960216470148745,0.24549117272020926,0.3608155537464134,0.06712104581703948,4.1910925349518156,0.01975425545279774,0.0022210782672686946,-0.004611319639121092,20.744924900908863,False,0.003611319639121092,3310.4247710704803,117012.45922477772,139
84,0.05369392776383056,0.0069059625428606886,1.9928804485266047,0.5881747237492676,0.24336966108924152,0.36133293009933665,0.06753568221228792,4.188232008096445,0.0192492564082675,0.0016743186164802637,-0.004497201814103846,20.74510775171905,False,0.003497201814103846,3349.769838809967,114461.94447617883,141
